Genotype ID,Accession,Genotype,Rep,Leaf_num,CHLp1,CHLp2,CHLp3,FW,LA,DW,SLA,THCK,LWC
SC 616, ,44,2,1,574.9,522.9,528.5,4.35,263.91,1.62,162.907407407407,60.6689655172414,62.7586206896552
SC 616, ,44,2,2,700.8,453.9,442.6,3.15,201.38,1.15,175.113043478261,63.9301587301587,63.4920634920635
SC 616, ,44,2,3,579.4,515,421.1,2,137.9,0.52,265.192307692308,68.95,74
RTAM2566, ,45,1,1,668.1,758.1,593.2,13.1,421.69,3.27,128.957186544343,32.1900763358779,75.0381679389313
RTAM2566, ,45,1,2,648.5,592.8,548.4,15.05,411.22,3.5,117.491428571429,27.3235880398671,76.7441860465116
RTAM2566, ,45,1,3,595.2,612.7,546.4,14.6,453.01,3.52,128.696022727273,31.0280821917808,75.8904109589041
RTAM2566, ,45,2,1,614.7,588,598.6,11.55,453.43,3.21,141.255451713396,39.2580086580087,72.2077922077922
RTAM2566, ,45,2,2,715.6,764.7,620,14.6,593.37,3.77,157.392572944297,40.6417808219178,74.1780821917808
RTAM2566, ,45,2,3,716.6,767.1,636.5,16.55,626.5,3.89,161.053984575835,37.8549848942598,76.4954682779456
"R3,122",PI 533925,46,1,1,656.3,646.1,664.2,17.1,428.62,5.13,83.551656920078,25.0654970760234,70
"R3,122",PI 533925,46,1,2,718.6,670.1,508.1,17.1,524.22,4.69,111.773987206823,30.6561403508772,72.5730994152047
"R3,122",PI 533925,46,1,3,642.7,661.9,587,16,484.35,4.09,118.422982885086,30.271875,74.4375
"R3,122",PI 533925,46,2,1,689.1,760.7,661.9,20.3,738.27,5.62,131.364768683274,36.3679802955665,72.3152709359606
"R3,122",PI 533925,46,2,2,746.9,702.8,597.5,18.1,694.68,4.84,143.528925619835,38.3801104972376,73.2596685082873
"R3,122",PI 533925,46,2,3,597.5,746.3,626.8,17.35,659.9,4.38,150.662100456621,38.0345821325648,74.7550432276657
SC0180, ,47,1,1,,,,,,,,,
SC0180, ,47,1,2,,,,,,,,,
SC0180, ,47,1,3,,,,,,,,,
SC0180, ,47,2,1,,,,,,,,,
SC0180, ,47,2,2,,,,,,,,,
SC0180, ,47,2,3,,,,,,,,,
Nipani Jola Nelri,PI 534 15,48,1,1,765.9,728.6,499.1,10.3,468.75,2.95,158.898305084746,45.5097087378641,71.3592233009709
Nipani Jola Nelri,PI 534 15,48,1,2,748.9,554.5,571.5,10.55,488.72,2.94,166.231292517007,46.3241706161137,72.132701421801
Nipani Jola Nelri,PI 534 15,48,1,3,648.4,655.3,640.5,10.1,471.05,2.71,173.819188191882,46.6386138613861,73.1683168316832
Nipani Jola Nelri,PI 534 15,48,2,1,,,,,,,,,
Nipani Jola Nelri,PI 534 15,48,2,2,,,,,,,,,
Nipani Jola Nelri,PI 534 15,48,2,3,,,,,,,,,
2031 T 11,PI 533969,49,1,1,659.6,612.7,746.7,15.5,650.92,4.64,140.284482758621,41.9948387096774,70.0645161290323
2031 T 11,PI 533969,49,1,2,742.3,775.6,751.3,17.3,696.52,5.02,138.749003984064,40.2612716763006,70.9826589595376
2031 T 11,PI 533969,49,1,3,675.4,765.1,586,17.7,691.26,4.72,146.453389830508,39.0542372881356,73.3333333333333
2031 T 11,PI 533969,49,2,1,753.1,708.3,628,18.1,727.96,5.23,139.189292543021,40.2187845303867,71.1049723756906
2031 T 11,PI 533969,49,2,2,674.3,753.1,669.1,19.55,809,5.38,150.371747211896,41.381074168798,72.4808184143223
2031 T 11,PI 533969,49,2,3,602,761.3,744.1,19.35,810.72,5.19,156.208092485549,41.8976744186047,73.1782945736434
Bein,PI 576411,50,1,1,,,,,,,,,
Bein,PI 576411,50,1,2,,,,,,,,,
Bein,PI 576411,50,1,3,,,,,,,,,
Bein,PI 576411,50,2,1,,,,,,,,,
Bein,PI 576411,50,2,2,,,,,,,,,
Bein,PI 576411,50,2,3,,,,,,,,,
Bein,PI 576411,51,1,1,510.4,621.2,362.3,12.6,576.44,4.06,141.980295566503,45.7492063492064,67.7777777777778
Bein,PI 576411,51,1,2,426.8,660.8,414.3,11.85,562.61,4.09,137.557457212714,47.4776371308017,65.4852320675106
Bein,PI 576411,51,1,3,,,,,,,,,
Bein,PI 576411,51,2,1,722.5,767.3,761.7,13.45,562.27,3.95,142.346835443038,41.8044609665428,70.6319702602231
